date,day_of_week,day_of_month,month,quarter,is_weekend,is_month_end,is_quarter_end,daily_sales,orders_count,opening_cash,direct_cash_sales,receivables_collected,total_inflow,vendor_outflow,opex_outflow,payroll_outflow,rent_outflow,total_outflow,net_cash_flow,closing_cash,pending_ar,pending_ap
2023-01-24,1,24,1,1,0,0,0,47941.27,4,761041.1,14382.38,25192.05,39574.43,40220.76,3331.98,0.0,0.0,43552.75,-3978.31,757062.79,395447.06,499593.54
2023-01-25,2,25,1,1,0,0,0,66068.56,8,757062.79,19820.57,18577.32,38397.89,63234.09,5156.06,0.0,0.0,68390.14,-29992.26,727070.53,423117.73,466386.18
2023-01-26,3,26,1,1,0,0,0,65112.96,7,727070.53,19533.89,37226.72,56760.61,50654.42,9854.58,0.0,0.0,60509.0,-3748.39,723322.14,431470.08,444047.84
2023-01-27,4,27,1,1,0,0,0,82363.63,10,723322.14,24709.09,26760.66,51469.75,27150.84,7821.97,0.0,0.0,34972.81,16496.94,739819.08,462363.97,463457.3
2023-01-28,5,28,1,1,1,0,0,34050.21,2,739819.08,10215.06,25686.48,35901.55,14876.77,2772.68,0.0,0.0,17649.45,18252.1,758071.17,460512.63,455445.71
2023-01-29,6,29,1,1,1,0,0,13172.99,1,758071.17,3951.9,28411.24,32363.14,25822.45,1523.1,0.0,0.0,27345.55,5017.59,763088.76,441322.48,436888.21
2023-01-30,0,30,1,1,0,0,0,57691.63,4,763088.76,17307.49,37317.43,54624.92,20089.47,4021.26,0.0,0.0,24110.73,30514.18,793602.94,444389.19,440227.85
2023-01-31,1,31,1,1,0,1,0,93137.77,8,793602.94,27941.33,25641.16,53582.49,30597.32,7996.81,0.0,0.0,38594.13,14988.36,808591.3,483944.47,457484.78
2023-02-01,2,1,2,1,0,0,0,47223.83,5,808591.3,14167.15,36168.67,50335.81,34092.99,8697.91,200341.79,0.0,243132.69,-192796.88,615794.42,480832.49,482336.63
2023-02-02,3,2,2,1,0,0,0,82200.3,10,615794.42,24660.09,65366.55,90026.64,33094.75,8778.28,41682.8,0.0,83555.84,6470.8,622265.23,473006.15,507713.16
2023-02-03,4,3,2,1,0,0,0,94670.54,13,622265.23,28401.16,55443.7,83844.87,17885.78,8971.52,0.0,0.0,26857.29,56987.57,679252.8,483831.82,507257.35
2023-02-04,5,4,2,1,1,0,0,16850.61,1,679252.8,5055.18,49126.06,54181.24,29114.6,1672.81,0.0,0.0,30787.41,23393.83,702646.63,446501.18,490061.7
2023-02-05,6,5,2,1,1,0,0,18799.85,1,702646.63,5639.96,38991.02,44630.97,28134.11,3547.67,0.0,69864.19,101545.97,-56915.0,645731.63,420670.06,474392.5
2023-02-06,0,6,2,1,0,0,0,36518.0,3,645731.63,10955.4,24412.78,35368.18,20030.51,11757.09,0.0,0.0,31787.6,3580.57,649312.2,421819.89,483760.2
2023-02-07,1,7,2,1,0,0,0,94200.36,9,649312.2,28260.11,31824.18,60084.29,26952.62,8192.13,0.0,0.0,35144.76,24939.53,674251.73,455935.96,510965.01
2023-02-08,2,8,2,1,0,0,0,43856.31,5,674251.73,13156.89,33528.25,46685.14,16759.02,8809.25,0.0,0.0,25568.27,21116.87,695368.6,453107.13,524332.1
2023-02-09,3,9,2,1,0,0,0,97698.13,7,695368.6,29309.44,40758.62,70068.06,26171.48,3139.11,0.0,0.0,29310.59,40757.48,736126.07,480737.2,557930.53
2023-02-10,4,10,2,1,0,0,0,60686.3,6,736126.07,18205.89,41159.54,59365.43,71556.01,5650.04,0.0,0.0,77206.05,-17840.62,718285.46,482058.08,548423.76
2023-02-11,5,11,2,1,1,0,0,34453.99,2,718285.46,10336.2,26663.77,36999.96,52230.95,3808.46,0.0,0.0,56039.41,-19039.45,699246.01,479512.1,502887.74
2023-02-12,6,12,2,1,1,0,0,27286.56,2,699246.01,8185.97,21882.65,30068.61,64400.65,1420.25,0.0,0.0,65820.9,-35752.29,663493.72,476730.05,449637.16
2023-02-13,0,13,2,1,0,0,0,93140.2,10,663493.72,27942.06,37734.86,65676.92,29004.52,6235.42,0.0,0.0,35239.94,30436.99,693930.71,504193.33,470218.13
2023-02-14,1,14,2,1,0,0,0,88226.34,8,693930.71,26467.9,40977.48,67445.38,35111.26,7602.08,0.0,0.0,42713.34,24732.04,718662.75,524974.29,492642.5
2023-02-15,2,15,2,1,0,0,0,87426.83,9,718662.75,26228.05,61898.52,88126.57,33541.19,11010.05,0.0,0.0,44551.24,43575.33,762238.07,524274.55,508918.26
2023-02-16,3,16,2,1,0,0,0,56885.87,5,762238.07,17065.76,39495.0,56560.76,17383.56,7190.38,0.0,0.0,24573.94,31986.82,794224.89,524599.66,535569.29
2023-02-17,4,17,2,1,0,0,0,50452.61,5,794224.89,15135.78,57006.96,72142.74,17447.48,10403.41,0.0,0.0,27850.89,44291.85,838516.74,502909.52,536547.7
2023-02-18,5,18,2,1,1,0,0,15990.04,2,838516.74,4797.01,50085.71,54882.72,21219.0,2868.67,0.0,0.0,24087.67,30795.05,869311.79,464016.85,528028.64
2023-02-19,6,19,2,1,1,0,0,14067.88,1,869311.79,4220.37,46441.88,50662.25,29881.63,3178.27,0.0,0.0,33059.91,17602.34,886914.13,427422.48,508553.35
2023-02-20,0,20,2,1,0,0,0,67052.7,8,886914.13,20115.81,40163.64,60279.45,22978.05,6950.74,0.0,0.0,29928.79,30350.65,917264.79,434195.74,539750.26
2023-02-21,1,21,2,1,0,0,0,31581.59,3,917264.79,9474.48,35822.48,45296.96,34462.33,6680.58,0.0,0.0,41142.9,4154.06,921418.85,420480.37,561370.0
2023-02-22,2,22,2,1,0,0,0,41052.58,4,921418.85,12315.77,22465.22,34781.0,35387.35,8941.78,0.0,0.0,44329.13,-9548.13,911870.71,426751.95,568659.0
2023-02-23,3,23,2,1,0,0,0,98739.02,11,911870.71,29621.7,34470.79,64092.49,33311.78,6776.4,0.0,0.0,40088.18,24004.31,935875.03,461398.47,578263.27
2023-02-24,4,24,2,1,0,0,0,55469.03,7,935875.03,16640.71,35172.87,51813.58,37160.93,3414.02,0.0,0.0,40574.95,11238.62,947113.65,465053.92,558775.24
2023-02-25,5,25,2,1,1,0,0,34564.24,3,947113.65,10369.27,33340.51,43709.78,34704.58,2474.85,0.0,0.0,37179.43,6530.35,953644.0,455908.39,533812.39
2023-02-26,6,26,2,1,1,0,0,17166.65,2,953644.0,5149.99,26837.4,31987.4,53379.36,2905.28,0.0,0.0,56284.64,-24297.24,929346.76,441087.64,489418.09
2023-02-27,0,27,2,1,0,0,0,56815.76,6,929346.76,17044.73,31272.35,48317.08,34053.71,8928.24,0.0,0.0,42981.95,5335.13,934681.89,449586.32,495886.0
2023-02-28,1,28,2,1,0,1,0,34848.59,3,934681.89,10454.58,31138.98,41593.55,27470.25,11462.07,0.0,0.0,38932.32,2661.24,937343.13,442841.35,486655.15
2023-03-01,2,1,3,1,0,0,0,71394.17,5,937343.13,21418.25,51829.81,73248.06,27680.56,11473.18,203166.16,0.0,242319.9,-169071.83,768271.29,440987.46,506438.7
2023-03-02,3,2,3,1,0,0,0,117552.54,9,768271.29,35265.76,40046.51,75312.27,18085.65,3164.0,41888.86,0.0,63138.5,12173.77,780445.06,483227.73,513358.67
2023-03-03,4,3,3,1,0,0,0,43103.59,4,780445.06,12931.08,43338.39,56269.47,18037.35,10330.22,0.0,0.0,28367.56,27901.91,808346.97,470061.85,565112.87
2023-03-04,5,4,3,1,1,0,0,19472.19,1,808346.97,5841.66,52524.73,58366.38,37523.14,3205.21,0.0,0.0,40728.36,17638.03,825984.99,431167.66,538879.16
2023-03-05,6,5,3,1,1,0,0,24634.09,2,825984.99,7390.23,33790.56,41180.78,34336.63,3971.52,0.0,66189.27,104497.41,-63316.63,762668.37,414620.96,517048.67
2023-03-06,0,6,3,1,0,0,0,106044.86,8,762668.37,31813.46,26218.2,58031.66,38074.34,6860.95,0.0,0.0,44935.29,13096.37,775764.73,462634.16,553725.57
2023-03-07,1,7,3,1,0,0,0,104092.95,11,775764.73,31227.89,23628.88,54856.76,31474.1,10438.12,0.0,0.0,41912.21,12944.55,788709.28,511870.35,595373.9
2023-03-08,2,8,3,1,0,0,0,116675.45,12,788709.28,35002.63,32982.05,67984.68,40854.81,3821.58,0.0,0.0,44676.39,23308.29,812017.57,560561.12,576144.96
2023-03-09,3,9,3,1,0,0,0,121543.03,13,812017.57,36462.91,50375.7,86838.61,34836.72,7036.01,0.0,0.0,41872.73,44965.87,856983.44,595265.54,595424.28
2023-03-10,4,10,3,1,0,0,0,66083.31,8,856983.44,19824.99,42918.42,62743.41,73241.84,10106.56,0.0,0.0,83348.4,-20604.99,836378.45,598605.44,586632.07
2023-03-11,5,11,3,1,1,0,0,31324.24,3,836378.45,9397.27,26249.98,35647.25,51227.67,3663.11,0.0,0.0,54890.79,-19243.53,817134.92,594282.43,545899.68
2023-03-12,6,12,3,1,1,0,0,19437.61,2,817134.92,5831.28,27792.47,33623.75,55020.24,1303.37,0.0,0.0,56323.61,-22699.85,794435.06,580096.28,503494.55
2023-03-13,0,13,3,1,0,0,0,99311.49,13,794435.06,29793.45,27875.29,57668.74,33316.32,3732.14,0.0,0.0,37048.45,20620.28,815055.35,621739.04,538640.65
2023-03-14,1,14,3,1,0,0,0,124807.58,8,815055.35,37442.27,38980.06,76422.33,36322.29,11525.24,0.0,0.0,47847.53,28574.8,843630.15,670124.29,544722.94
2023-03-15,2,15,3,1,0,0,0,103989.0,10,843630.15,31196.7,65436.55,96633.25,34852.25,8025.64,0.0,0.0,42877.89,53755.36,897385.52,677480.05,535692.86
2023-03-16,3,16,3,1,0,0,0,117642.13,15,897385.52,35292.64,54036.52,89329.16,17820.0,7217.95,0.0,0.0,25037.94,64291.22,961676.73,705793.01,567321.96
2023-03-17,4,17,3,1,0,0,0,47354.5,3,961676.73,14206.35,52850.31,67056.66,37449.82,8250.32,0.0,0.0,45700.14,21356.52,983033.25,686090.85,588364.03
2023-03-18,5,18,3,1,1,0,0,27558.42,3,983033.25,8267.53,58042.74,66310.27,23446.14,3889.67,0.0,0.0,27335.8,38974.46,1022007.72,647339.0,578603.89
2023-03-19,6,19,3,1,1,0,0,46301.18,6,1022007.72,13890.35,45381.62,59271.97,30282.3,3978.89,0.0,0.0,34261.19,25010.78,1047018.5,634368.21,562233.02
2023-03-20,0,20,3,1,0,0,0,86181.49,8,1047018.5,25854.45,87556.17,113410.62,33847.24,9261.74,0.0,0.0,43108.98,70301.64,1117320.14,607139.09,579594.68
2023-03-21,1,21,3,1,0,0,0,92759.56,6,1117320.14,27827.87,42590.85,70418.72,20765.5,5528.67,0.0,0.0,26294.16,44124.56,1161444.69,629479.93,631871.06
2023-03-22,2,22,3,1,0,0,0,116206.04,11,1161444.69,34861.81,41388.64,76250.45,28301.63,4693.09,0.0,0.0,32994.72,43255.73,1204700.43,669435.52,660382.09
2023-03-23,3,23,3,1,0,0,0,68286.69,5,1204700.43,20486.01,45434.22,65920.23,47308.51,11875.9,0.0,0.0,59184.41,6735.81,1211436.24,671801.98,638562.75
2023-03-24,4,24,3,1,0,0,0,84596.6,6,1211436.24,25378.98,38291.61,63670.59,72988.04,4463.55,0.0,0.0,77451.6,-13781.0,1197655.24,692727.99,633571.37
2023-03-25,5,25,3,1,1,0,0,41659.92,3,1197655.24,12497.98,56301.64,68799.61,63398.34,2254.73,0.0,0.0,65653.07,3146.55,1200801.79,665588.3,582430.23
2023-03-26,6,26,3,1,1,0,0,43031.01,3,1200801.79,12909.3,29086.76,41996.07,47665.13,3431.66,0.0,0.0,51096.79,-9100.72,1191701.07,666623.24,540028.77
2023-03-27,0,27,3,1,0,0,0,50174.71,3,1191701.07,15052.41,44746.96,59799.38,40110.14,10579.07,0.0,0.0,50689.21,9110.17,1200811.24,656998.57,542915.08
2023-03-28,1,28,3,1,0,0,0,78580.86,6,1200811.24,23574.26,40294.35,63868.61,18698.37,10782.5,0.0,0.0,29480.88,34387.74,1235198.97,671710.82,561005.96
2023-03-29,2,29,3,1,0,0,0,125974.8,9,1235198.97,37792.44,60689.23,98481.67,37311.32,11502.89,0.0,0.0,48814.21,49667.46,1284866.43,699203.96,576770.82
2023-03-30,3,30,3,1,0,0,0,58825.82,6,1284866.43,17647.75,42958.27,60606.02,41253.7,8455.57,0.0,0.0,49709.27,10896.75,1295763.18,697423.76,563976.08
2023-03-31,4,31,3,1,0,1,1,96699.29,9,1295763.18,29009.79,49522.05,78531.84,20920.89,9044.16,0.0,0.0,29965.05,48566.79,1344329.97,715591.2,584739.09
2023-04-01,5,1,4,2,1,0,0,40078.03,4,1344329.97,12023.41,72349.65,84373.06,31155.2,2682.81,232599.22,0.0,266437.23,-182064.17,1162265.8,671296.18,567105.7
2023-04-02,6,2,4,2,1,0,0,19971.48,2,1162265.8,5991.44,45120.02,51111.46,31772.39,3112.24,44259.28,0.0,79143.91,-28032.44,1134233.35,640156.19,547884.69
2023-04-03,0,3,4,2,0,0,0,38048.11,2,1134233.35,11414.43,57635.72,69050.15,27548.75,6937.27,0.0,0.0,34486.03,34564.12,1168797.47,609154.15,575403.69
2023-04-04,1,4,4,2,0,0,0,67831.8,5,1168797.47,20349.54,63625.0,83974.54,29427.61,8598.78,0.0,0.0,38026.39,45948.15,1214745.63,593011.41,612232.04
2023-04-05,2,5,4,2,0,0,0,121494.72,8,1214745.63,36448.41,49778.05,86226.46,34120.56,5324.2,0.0,66887.04,106331.8,-20105.33,1194640.29,628279.66,652621.91
2023-04-06,3,6,4,2,0,0,0,80716.16,10,1194640.29,24214.85,36396.15,60611.0,28128.09,3682.77,0.0,0.0,31810.86,28800.14,1223440.44,648384.83,682072.72
2023-04-07,4,7,4,2,0,0,0,48178.09,5,1223440.44,14453.43,31428.95,45882.38,39561.48,4636.92,0.0,0.0,44198.41,1683.97,1225124.41,650680.54,671528.51
2023-04-08,5,8,4,2,1,0,0,43998.83,6,1225124.41,13199.65,40179.0,53378.65,25205.31,1576.87,0.0,0.0,26782.18,26596.47,1251720.88,641300.73,657998.78
2023-04-09,6,9,4,2,1,0,0,21071.45,2,1251720.88,6321.44,33552.81,39874.24,22301.73,1361.91,0.0,0.0,23663.64,16210.6,1267931.48,622497.94,642467.15
2023-04-10,0,10,4,2,0,0,0,55165.28,4,1267931.48,16549.59,36077.5,52627.08,71822.18,3353.81,0.0,0.0,75175.99,-22548.91,1245382.57,625036.14,620717.31
2023-04-11,1,11,4,2,0,0,0,92790.11,10,1245382.57,27837.03,29856.08,57693.12,83269.57,3549.7,0.0,0.0,86819.28,-29126.16,1216256.41,660133.13,608896.9
2023-04-12,2,12,4,2,0,0,0,108703.46,10,1216256.41,32611.04,51484.54,84095.58,44245.01,6334.25,0.0,0.0,50579.26,33516.32,1249772.73,684741.02,596307.98
2023-04-13,3,13,4,2,0,0,0,91929.24,10,1249772.73,27578.77,41017.66,68596.43,38576.01,3330.15,0.0,0.0,41906.16,26690.27,1276463.0,708073.83,605443.35
2023-04-14,4,14,4,2,0,0,0,100416.45,9,1276463.0,30124.94,59006.53,89131.47,33642.28,3964.55,0.0,0.0,37606.83,51524.64,1327987.64,719358.81,622350.44
2023-04-15,5,15,4,2,1,0,0,32527.44,3,1327987.64,9758.23,59012.62,68770.85,28409.49,1060.21,0.0,0.0,29469.71,39301.14,1367288.78,683115.4,601633.37
2023-04-16,6,16,4,2,1,0,0,22410.61,1,1367288.78,6723.18,59370.17,66093.35,39886.53,2780.78,0.0,0.0,42667.31,23426.04,1390714.83,639432.66,567944.46
2023-04-17,0,17,4,2,0,0,0,107183.53,8,1390714.83,32155.06,68517.04,100672.1,30579.8,8281.57,0.0,0.0,38861.37,61810.72,1452525.55,645944.09,563384.31
2023-04-18,1,18,4,2,0,0,0,75275.61,6,1452525.55,22582.68,50417.24,72999.92,26748.36,8813.26,0.0,0.0,35561.62,37438.3,1489963.85,648219.79,574024.0
2023-04-19,2,19,4,2,0,0,0,68531.63,8,1489963.85,20559.49,88511.74,109071.23,24878.41,3916.04,0.0,0.0,28794.45,80276.77,1570240.63,607680.19,605129.09
2023-04-20,3,20,4,2,0,0,0,58701.73,4,1570240.63,17610.52,48193.08,65803.6,26370.22,4560.36,0.0,0.0,30930.58,34873.01,1605113.64,600578.32,610533.11
2023-04-21,4,21,4,2,0,0,0,43910.86,4,1605113.64,13173.26,38497.93,51671.19,45404.5,4008.35,0.0,0.0,49412.85,2258.34,1607371.98,592817.99,609829.02
2023-04-22,5,22,4,2,1,0,0,46288.32,3,1607371.98,13886.5,46654.08,60540.58,25116.93,1512.66,0.0,0.0,26629.59,33910.99,1641282.97,578565.73,597882.82
2023-04-23,6,23,4,2,1,0,0,45025.34,5,1641282.97,13507.6,37990.21,51497.82,25073.77,3308.48,0.0,0.0,28382.25,23115.57,1664398.53,572093.26,583525.18
2023-04-24,0,24,4,2,0,0,0,65638.37,5,1664398.53,19691.51,35239.08,54930.59,45290.06,4033.53,0.0,0.0,49323.6,5606.99,1670005.53,582801.05,588549.61
2023-04-25,1,25,4,2,0,0,0,62510.28,8,1670005.53,18753.08,39629.51,58382.6,54821.95,7793.3,0.0,0.0,62615.25,-4232.65,1665772.87,586928.73,563642.11
2023-04-26,2,26,4,2,0,0,0,66791.93,5,1665772.87,20037.58,28754.38,48791.95,73700.79,5901.18,0.0,0.0,79601.98,-30810.02,1634962.85,604928.7,514601.23
2023-04-27,3,27,4,2,0,0,0,59476.68,6,1634962.85,17843.0,43487.86,61330.86,31192.14,7244.19,0.0,0.0,38436.33,22894.53,1657857.38,603074.52,548312.24
2023-04-28,4,28,4,2,0,0,0,67886.49,5,1657857.38,20365.95,50213.69,70579.63,42346.11,4118.68,0.0,0.0,46464.78,24114.85,1681972.24,600381.38,574934.41
2023-04-29,5,29,4,2,1,0,0,45307.72,3,1681972.24,13592.32,29866.15,43458.46,34629.75,2723.42,0.0,0.0,37353.17,6105.29,1688077.53,602230.64,545969.62
2023-04-30,6,30,4,2,1,1,0,20152.83,1,1688077.53,6045.85,44259.63,50305.48,20209.55,1492.8,0.0,0.0,21702.35,28603.13,1716680.66,572077.99,532776.34
2023-05-01,0,1,5,2,0,0,0,96118.85,9,1716680.66,28835.66,62322.49,91158.15,37392.99,6532.01,228995.97,0.0,272920.96,-181762.82,1534917.84,577038.7,537105.81
2023-05-02,1,2,5,2,0,0,0,70392.29,5,1534917.84,21117.69,58630.13,79747.82,34475.59,7524.48,44644.25,0.0,86644.33,-6896.51,1528021.33,567683.17,541034.79
2023-05-03,2,3,5,2,0,0,0,71012.29,5,1528021.33,21303.69,60990.52,82294.21,33772.37,4052.08,0.0,0.0,37824.45,44469.75,1572491.09,556401.26,580611.19
2023-05-04,3,4,5,2,0,0,0,92772.94,8,1572491.09,27831.88,53083.73,80915.62,37652.85,8580.65,0.0,0.0,46233.51,34682.11,1607173.2,568258.58,572001.29
2023-05-05,4,5,5,2,0,0,0,116529.91,16,1607173.2,34958.97,74386.13,109345.1,25556.1,5236.4,0.0,71159.19,101951.69,7393.41,1614566.61,575443.39,576204.42
2023-05-06,5,6,5,2,1,0,0,33701.53,4,1614566.61,10110.46,42230.94,52341.4,25771.91,3463.77,0.0,0.0,29235.68,23105.72,1637672.32,556803.52,564200.17
2023-05-07,6,7,5,2,1,0,0,42413.25,4,1637672.32,12723.97,26450.56,39174.53,35474.72,1449.75,0.0,0.0,36924.47,2250.06,1639922.38,560042.23,537698.32
2023-05-08,0,8,5,2,0,0,0,101211.04,11,1639922.38,30363.31,43406.15,73769.46,34407.82,7884.52,0.0,0.0,42292.34,31477.12,1671399.5,587483.81,561316.77
2023-05-09,1,9,5,2,0,0,0,67603.37,6,1671399.5,20281.01,30003.42,50284.43,33856.41,6607.66,0.0,0.0,40464.07,9820.36,1681219.86,604802.75,600923.39
2023-05-10,2,10,5,2,0,0,0,121295.04,17,1681219.86,36388.51,31819.09,68207.6,59298.07,8503.09,0.0,0.0,67801.16,406.44,1681626.3,657890.19,596480.09
2023-05-11,3,11,5,2,0,0,0,114587.06,9,1681626.3,34376.12,57043.95,91420.07,67715.4,11302.49,0.0,0.0,79017.89,12402.17,1694028.47,681057.18,582401.13
2023-05-12,4,12,5,2,0,0,0,50364.11,3,1694028.47,15109.23,45164.57,60273.81,53971.97,9628.0,0.0,0.0,63599.97,-3326.16,1690702.31,671147.48,584466.95
2023-05-13,5,13,5,2,1,0,0,44905.41,5,1690702.31,13471.62,40773.3,54244.93,40983.84,3516.69,0.0,0.0,44500.54,9744.39,1700446.7,661807.97,549615.49
2023-05-14,6,14,5,2,1,0,0,44756.52,6,1700446.7,13426.96,51843.81,65270.77,30034.05,2197.01,0.0,0.0,32231.06,33039.71,1733486.41,641293.72,529769.82
2023-05-15,0,15,5,2,0,0,0,66666.35,6,1733486.41,19999.91,79378.65,99378.55,23881.94,6583.52,0.0,0.0,30465.46,68913.1,1802399.51,608581.52,527155.38
2023-05-16,1,16,5,2,0,0,0,118847.11,13,1802399.51,35654.13,59607.54,95261.67,33807.45,7069.96,0.0,0.0,40877.41,54384.27,1856783.77,632166.96,534384.48
2023-05-17,2,17,5,2,0,0,0,77130.23,5,1856783.77,23139.07,50099.73,73238.8,28241.62,6770.33,0.0,0.0,35011.95,38226.85,1895010.63,636058.38,537329.22
2023-05-18,3,18,5,2,0,0,0,69093.66,8,1895010.63,20728.1,69234.72,89962.82,18156.84,8971.84,0.0,0.0,27128.68,62834.14,1957844.77,615189.22,576685.64
2023-05-19,4,19,5,2,0,0,0,122525.53,11,1957844.77,36757.66,51530.45,88288.11,20771.14,11971.87,0.0,0.0,32743.01,55545.1,2013389.87,649426.64,600859.04
2023-05-20,5,20,5,2,1,0,0,34504.63,4,2013389.87,10351.39,46000.72,56352.11,23550.66,3694.16,0.0,0.0,27244.82,29107.29,2042497.16,627579.16,589807.99
2023-05-21,6,21,5,2,1,0,0,21756.66,1,2042497.16,6527.0,26652.13,33179.13,31531.4,1197.13,0.0,0.0,32728.52,450.61,2042947.76,616156.69,567997.26
2023-05-22,0,22,5,2,0,0,0,77206.03,9,2042947.76,23161.81,40865.91,64027.72,28283.51,8036.76,0.0,0.0,36320.28,27707.44,2070655.2,629335.0,586167.79
2023-05-23,1,23,5,2,0,0,0,52987.09,4,2070655.2,15896.13,49629.69,65525.82,29736.51,5436.7,0.0,0.0,35173.21,30352.6,2101007.81,616796.27,632069.45
2023-05-24,2,24,5,2,0,0,0,73229.52,10,2101007.81,21968.86,27400.66,49369.52,69883.31,8930.32,0.0,0.0,78813.63,-29444.11,2071563.7,640656.28,592203.95
2023-05-25,3,25,5,2,0,0,0,56561.02,4,2071563.7,16968.3,33497.5,50465.8,36133.61,3936.98,0.0,0.0,40070.59,10395.21,2081958.91,646751.5,615872.15
2023-05-26,4,26,5,2,0,0,0,52685.11,4,2081958.91,15805.53,45194.74,61000.28,39792.22,5188.55,0.0,0.0,44980.77,16019.51,2097978.42,638436.33,610834.99
2023-05-27,5,27,5,2,1,0,0,42704.44,4,2097978.42,12811.33,48927.59,61738.92,35157.55,1614.95,0.0,0.0,36772.51,24966.42,2122944.84,619401.84,584649.27
2023-05-28,6,28,5,2,1,0,0,43984.58,5,2122944.84,13195.37,26345.79,39541.16,22625.44,1079.6,0.0,0.0,23705.04,15836.13,2138780.97,623845.26,567878.91
